行番号,ID,事件番号,事件名,裁判年月日,法廷名,裁判種別,結果,判例集等巻・号・頁,原審裁判所名,原審事件番号,原審裁判年月日,判示事項,裁判要旨,参照法条
0,24925,平成14(行ヒ)96,公務外認定処分取消請求事件,平成18年3月3日,最高裁判所第二小法廷,判決,破棄差戻,集民　第219号657頁,"福岡高等裁判所
        　宮崎支部",平成12(行コ)8,平成14年1月25日,心臓疾患を有する地方公務員が公務として行われたバレーボールの試合に出場した際に急性心筋こうそくを発症して死亡した場合につき同人の死亡とバレーボールの試合に出場したこととの間の相当因果関係を否定した原審の判断に違法があるとされた事例,心臓疾患を有する地方公務員が，公務として行われたバレーボールの試合に出場した際に急性心筋こうそくを発症して死亡した場合につき，(1)同人は，力仕事に従事することは極力避けるようにしていたものの，その余の職務には通常どおり従事しており，その勤務状況は良好であったこと，(2)死亡の約３年前に行われた検査の結果，同人に狭心症状等は認められず，日常生活，事務労働，車の運転等の中程度の労働まで許容することができるとされたこと，(3)死亡前の約６年間に同人が狭心症状等を起こした旨の記録は存在しないことなど判示の事実関係の下においては，同人の心臓疾患が確たる発症因子がなくてもその自然の経過により心筋こうそくを発症させる寸前にまでは増悪していなかったかどうかについて十分に審理することなく，同人の死亡とバレーボールの試合に出場したこととの間の相当因果関係を否定した原審の判断には，違法がある。,地方公務員災害補償法31条，地方公務員災害補償法45条1項
1,24926,平成12(行ツ)62,国民健康保険料賦課処分取消等請求事件,平成18年3月1日,最高裁判所大法廷,判決,棄却,民集　第60巻2号587頁,札幌高等裁判所,平成10(行コ)8,平成11年12月21日,"１　市町村が行う国民健康保険の保険料と憲法８４条
２　国民健康保険の保険料率の算定基準を定めた上でその決定及び告示を市長に委任している旭川市国民健康保険条例（昭和３４年旭川市条例第５号）８条（平成６年旭川市条例第２９号による改正前のもの及び平成１０年旭川市条例第４１号による改正前のもの），１２条３項と国民健康保険法８１条及び憲法８４条
３　旭川市長が平成６年度から同８年度までの各年度の国民健康保険の保険料率を各年度の賦課期日後に告示したことと憲法８４条
４　恒常的に生活が困窮している状態にある者を国民健康保険の保険料の減免の対象としていない旭川市国民健康保険条例（昭和３４年旭川市条例第５号）１９条１項と国民健康保険法７７条及び憲法２５条，１４条","１　市町村が行う国民健康保険の保険料については，これに憲法８４条の規定が直接に適用されることはないが，同条の趣旨が及ぶと解すべきであるところ，国民健康保険法８１条の委任に基づき条例において賦課要件がどの程度明確に定められるべきかは，賦課徴収の強制の度合いのほか，社会保険としての国民健康保険の目的，特質等をも総合考慮して判断する必要がある。
２　旭川市国民健康保険条例（昭和３４年旭川市条例第５号）が，８条（平成６年旭川市条例第２９号による改正前のもの及び平成１０年旭川市条例第４１号による改正前のもの）において，国民健康保険の保険料率の算定の基礎となる賦課総額の算定基準を定めた上で，１２条３項において，旭川市長に対し，保険料率を同基準に基づいて決定して告示の方式により公示することを委任したことは，国民健康保険法８１条に違反せず，憲法８４条の趣旨に反しない。
３　旭川市長が旭川市国民健康保険条例（昭和３４年旭川市条例第５号）１２条３項の規定に基づき平成６年度から同８年度までの各年度の国民健康保険の保険料率を各年度の賦課期日後に告示したことは，憲法８４条の趣旨に反しない。
４　旭川市国民健康保険条例（昭和３４年旭川市条例第５号）１９条１項が，当該年において生じた事情の変更に伴い一時的に保険料負担能力の全部又は一部を喪失した者に対して国民健康保険の保険料を減免するにとどめ，恒常的に生活が困窮している状態にある者を保険料の減免の対象としていないことは，国民健康保険法７７条の委任の範囲を超えるものではなく，憲法２５条，１４条に違反しない。
（１〜３につき補足意見がある。）",（１〜３につき）憲法84条，国民健康保険法（平成9年法律第124号による改正前のもの）76条　（１につき）国民健康保険法5条，国民健康保険法（平成14年法律第102号による改正前のもの）79条の2　（１，２につき）国民健康保険法81条　（２につき）旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成6年旭川市条例第29号による改正前のもの）8条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成10年旭川市条例第41号による改正前のもの）8条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成9年旭川市条例第8号による改正前のもの）9条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成12年旭川市条例第23号による改正前のもの）10条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成9年旭川市条例第8号による改正前のもの）11条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成7年旭川市条例第14号による改正前のもの）12条1項，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成8年旭川市条例第8号による改正前のもの）12条1項，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成9年旭川市条例第8号による改正前のもの）12条1項　（２，３につき）旭川市国民健康保険条例（昭和34年旭川市条例第5号）12条3項　（３につき）旭川市国民健康保険条例（昭和34年旭川市条例第5号）13条　（４につき）憲法14条，憲法25条，国民健康保険法6条6号，国民健康保険法77条，旭川市国民健康保険条例（昭和34年旭川市条例第5号）19条1項
2,32770,平成17(あ)2035,危険運転致傷，道路交通法違反，傷害被告事件,平成18年3月14日,最高裁判所第二小法廷,決定,棄却,刑集　第60巻3号363頁,札幌高等裁判所,平成17(う)139,平成17年9月8日,交差点手前で信号待ちをしていた先行車両の後方から赤色信号を殊更に無視し対向車線に進出し時速約２０kmで普通乗用自動車を運転して同交差点に進入しようとしたため自車を右方道路から左折進行してきた自動車に衝突させ同車運転者らを負傷させた行為が刑法２０８条の２第２項後段の危険運転致傷罪に当たるとされた事例,交差点手前で信号待ちをしていた先行車両の後方から，赤色信号を殊更に無視し，対向車線に進出し時速約２０kmで普通乗用自動車を運転して同交差点に進入しようとしたため，自車を右方道路から青色信号に従い左折して対向進行してきた普通貨物自動車に同交差点入口手前において衝突させ，同車運転者らを負傷させた行為は，刑法２０８条の２第２項後段の危険運転致傷罪に当たる。,刑法208条の2第2項後段
3,32786,平成13(行ヒ)289,個人情報非訂正決定処分取消請求事件,平成18年3月10日,最高裁判所第二小法廷,判決,破棄自判,集民　第219号677頁,大阪高等裁判所,平成13(行コ)10,平成13年7月13日,国民健康保険診療報酬明細書に記録された個人の診療に関する情報についてされた京都市個人情報保護条例（平成５年京都市条例第１号。平成１６年京都市条例第２４号による改正前のもの）に基づく個人情報の訂正をしない旨の決定が違法とはいえないとされた事例,"国民健康保険診療報酬明細書（レセプト）に記録された個人の診療に関する情報について，実際に受けた診療の内容と異なることを理由として京都市個人情報保護条例（平成５年京都市条例第１号。平成１６年京都市条例第２４号による改正前のもの）に基づく個人情報の訂正の請求がされた場合において，(1)上記レセプトは，保険医療機関が国民健康保険法に基づく療養の給付に関する費用を京都市に請求するために自ら行ったとする診療の内容を記載して作成し，京都府国民健康保険団体連合会に提出したものであること，(2)同連合会による審査の後に上記レセプトを取得した京都市は，保険医療機関に対する診療報酬の支払の明細に係る歳入歳出の証拠書類としてこれを保管しており，上記訂正の請求がされた当時，実際の診療内容を直接明らかにするためにこれを管理していたものとは認められないこと，(3)同条例は，実施機関に対して訂正の請求に関する調査権限を付与する特段の規定を置いておらず，実施機関の対外的な調査権限にはおのずから限界があることなど判示の事情の下においては，実施機関がした訂正をしない旨の決定が違法であるということはできない。
（補足意見がある。）",京都市個人情報保護条例（平成5年京都市条例第1号。平成16年京都市条例第24号による改正前のもの）21条1項，京都市個人情報保護条例（平成5年京都市条例第1号。平成16年京都市条例第24号による改正前のもの）23条1項，療養の給付，老人医療及び公費負担医療に関する費用の請求に関する省令（平成10年厚生省令第99号による改正前のもの）1条1項
4,32789,平成17(受)76,損害賠償請求事件,平成18年3月13日,最高裁判所第二小法廷,判決,破棄差戻,集民　第219号703頁,高松高等裁判所,平成15(ネ)341,平成16年10月29日,高等学校の生徒が課外のクラブ活動としてのサッカーの試合中に落雷により負傷した事故について引率者兼監督の教諭に落雷事故発生の危険が迫っていることを予見すべき注意義務の違反があるとされた事例,高等学校の生徒が，課外のクラブ活動としてのサッカーの試合中に落雷により負傷した場合において，その当時の文献には，運動場に居て雷鳴が聞こえるときには，遠くても直ちに屋内に避難すべきであるとの趣旨の記載が多く存在していること，上記試合の開始直前ころには，黒く固まった暗雲が立ち込め，雷鳴が聞こえ，雲の間で放電が起きるのが目撃されていたことなど判示の事実関係の下では，引率者兼監督の教諭は，落雷事故発生の危険が迫っていることを具体的に予見することが可能であったというべきであり，また，予見すべき注意義務を怠ったものというべきである。,民法415条，民法709条，民法715条
5,32794,平成17(受)1751,損害賠償等請求事件,平成18年3月28日,最高裁判所第三小法廷,判決,棄却,民集　第60巻3号875頁,"名古屋高等裁判所
        　金沢支部",平成15(ネ)127,平成17年5月30日,自家用自動車総合保険契約の記名被保険者の子が胎児であった時に発生した交通事故により出生後に傷害を生じその結果後遺障害が残存した場合における同契約の無保険車傷害条項に基づく保険金請求の可否,自家用自動車総合保険契約の記名被保険者の子が，胎児であった時に発生した交通事故により出生後に傷害を生じ，その結果，後遺障害が残存した場合には，当該子又はその父母は，当該傷害及び後遺障害によってそれぞれが被った損害について，同契約の無保険車傷害条項が被保険者として定める「記名被保険者の同居の親族」に生じた傷害及び後遺障害による損害に準ずるものとして，同条項に基づく保険金の請求をすることができる。,商法第3編第10章　保険，民法91条，民法721条
6,32811,平成15(受)1099,解雇無効確認等請求事件,平成18年3月28日,最高裁判所第三小法廷,判決,破棄自判,集民　第219号1033頁,福岡高等裁判所,平成14(ネ)372,平成15年3月26日,使用者の責めに帰すべき事由による解雇の期間中の賃金につき使用者が支払義務を負う金額を算定する場合において期末手当等の全額を対象として労働者が他の職に就いて得た利益の額を控除すべきであるとされた事例,使用者の責めに帰すべき事由による解雇の期間中の賃金につき使用者が支払義務を負う金額を算定する場合において，労働者が同期間中に他の職に就いて得た利益の額が当該利益を得た期間における平均賃金合計額の４割を超え，かつ，使用者が労働者に対し労働基準法１２条４項所定の賃金に当たる期末手当及び勤勉手当を支払うこととされているという事実関係の下では，上記利益を得た期間に時期的に対応する期間に係る期末手当及び勤勉手当の全額を対象として，上記の平均賃金合計額の４割を超える利益の額を控除すべきである。,民法536条2項，労働基準法12条1項，4項，労働基準法24条1項，労働基準法26条
7,32812,平成15(行ツ)202,滞納処分取消請求事件,平成18年3月28日,最高裁判所第三小法廷,判決,棄却,集民　第219号981頁,"仙台高等裁判所
        　秋田支部",平成14(行コ)4,平成15年5月28日,農作物共済に係る共済掛金等の具体的決定を農業共済組合の定款等にゆだねている農業災害補償法（平成１１年法律第１６０号による改正前のもの）１０７条１項，農業災害補償法（平成１５年法律第９１号による改正前のもの）４３条１項２号，８６条１項，８７条１項，農業災害補償法４５条の２，８７条３項と憲法８４条,農作物共済に係る共済掛金及び賦課金の具体的決定を農業共済組合の定款又は総会若しくは総代会の議決にゆだねている農業災害補償法（平成１１年法律第１６０号による改正前のもの）１０７条１項，農業災害補償法（平成１５年法律第９１号による改正前のもの）４３条１項２号，８６条１項，８７条１項，農業災害補償法４５条の２，８７条３項の規定は，憲法８４条の趣旨に反しない。,憲法84条，農業災害補償法（平成11年法律第160号による改正前のもの）107条1項，農業災害補償法（平成15年法律第91号による改正前のもの）43条1項，農業災害補償法（平成15年法律第91号による改正前のもの）86条1項，農業災害補償法（平成15年法律第91号による改正前のもの）87条1項，農業災害補償法45条の2，農業災害補償法87条3項
8,32813,平成16(オ)1365,損害賠償請求事件,平成18年3月28日,最高裁判所第三小法廷,判決,棄却,集民　第219号989頁,札幌高等裁判所,平成15(ネ)468,平成16年5月27日,"１　旭川市介護保険条例（平成１２年旭川市条例第２７号。平成１５年旭川市条例第２０号による改正前のもの）が介護保険の第１号被保険者のうち一定の低所得者について一律に保険料を賦課しないものとする旨の規定又は保険料を全額免除する旨の規定を設けていないことと憲法１４条，２５条
２　介護保険法１３５条の規定による介護保険の第１号被保険者の保険料についての特別徴収の制度と憲法１４条，２５条","１　旭川市介護保険条例（平成１２年旭川市条例第２７号。平成１５年旭川市条例第２０号による改正前のもの）が，介護保険の第１号被保険者のうち，生活保護法６条２項に規定する要保護者で地方税法（平成１６年法律第１７号による改正前のもの）２９５条により市町村民税が非課税とされる者について，一律に保険料を賦課しないものとする旨の規定又は保険料を全額免除する旨の規定を設けていないことは，憲法１４条，２５条に違反しない。
２　介護保険法１３５条の規定による介護保険の第１号被保険者の保険料についての特別徴収の制度は，憲法１４条，２５条に違反しない。",（１，２につき）憲法14条，憲法25条，介護保険法129条　（１につき）介護保険法142条，生活保護法6条2項，地方税法（平成16年法律第17号による改正前のもの）295条1項，旭川市介護保険条例（平成12年旭川市条例第27号）12条1項，旭川市介護保険条例（平成12年旭川市条例第27号）13条1項　（２につき）介護保険法131条，介護保険法134条1項，介護保険法135条，介護保険法施行令41条
9,32814,平成17(あ)2091,暴行，逮捕監禁致死被告事件,平成18年3月27日,最高裁判所第一小法廷,決定,棄却,刑集　第60巻3号382頁,大阪高等裁判所,平成17(う)207,平成17年9月13日,道路上で停車中の普通乗用自動車後部のトランク内に被害者を監禁した行為と同車に後方から走行してきた自動車が追突して生じた被害者の死亡との間に因果関係があるとされた事例,道路上で停車中の普通乗用自動車後部のトランク内に被害者を監禁した行為と，同車に後方から走行してきた自動車が追突して生じた被害者の死亡との間には，同人の死亡原因が直接的には追突事故を起こした第三者の甚だしい過失行為にあるとしても，因果関係がある。,刑法第1編第7章　犯罪の不成立及び刑の減免，刑法221条
