問,No,解答,配点,備 考,問.1,No.1,解答.1,配点.1,備 考.1
1.0,1,2.0,4,4問正解で部分点2点,15.0,26.0,1,2.0,
,2,2.0,16,27,5.0,2.0,,,
,3,2.0,17,28,3.0,2.0,,,
,4,2.0,18,29,1.0,3.0,順 不 同(部分点なし),,
,5,1.0,30,5,,,,,
2.0,6,4.0,2,,19.0,31.0,5,2.0,
3.0,7,1.0,3,順 不 同,,32.0,2,4.0,4問正解で部分点2点
,8,5.0,(部分点なし),,33.0,2.0,,,
4.0,9,5.0,2,,20.0,34.0,2,,
5.0,10,4.0,2,,,35.0,1,,
,11,,,,,36.0,2,,
6.0,12,,4,,,,,,
,13,,,,,,,,
,14,,,,,,,,
,15,,,,,,,,
7.0,16,2.0,2,,,,,,
8.0,17,3.0,3,順 不 同,,,,,
,18,4.0,(部分点なし),,,,,,
9.0,19,2.0,3,順 不 同,,,,,
,20,3.0,(部分点なし),,,,,,
10.0,21,3.0,2,,,,,,
11.0,22,4.0,2,,,,,,
12.0,23,3.0,2,,,,,,
13.0,24,5.0,2,,,,,,
14.0,25,4.0,2,,,,,,
