year,num,subject,q,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,a,explanation
2023,1,ken,"憲法第１３条に関する次のアからウまでの各記述について、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．最高裁判所は、本人の意思に反し、かつ令状なしでなされた警察官による写真撮影行為の違法性が争われた事件において、憲法第１３条は、国民の私生活上の自由が警察権等の国家権力の行使に対しても保護されるべきことを規定したものであるとした。
イ．最高裁判所は、自己消費を目的とする酒類製造を処罰することの合理性が争われた事件において、自己消費目的の酒類製造の自由は人格的生存に不可欠であるとまでは断じ難く、制約しても憲法第１３条に違反するものでないとした。
ウ．最高裁判所は、市営地下鉄内における商業宣伝放送の違法性が争われた事件において、聞きたくない音を聞かない自由は、人格的利益に含まれると解することもできないものではないが、精神的自由の一つに含まれるため、憲法第１３条によって保障されるとの主張は適当でないとした。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,4,"ア．hanrei 51765
イ．hanrei 50336
ウ．hanrei 62292"
2023,2,ken,"憲法第１９条の保障する思想・良心の自由に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、それぞれ正しい場合には１を、誤っている場合には２を選びなさい。
ア．企業者が特定の思想、信条を有する者を、それを理由に雇い入れることを拒んでも、当然に違法とすることはできず、企業者が労働者の採否決定に当たり、その者の思想、信条を調査し、そのためにその者から関連事項について申告を求めることも違法行為とすべき理由はないが、いったん労働者を雇い入れ、その者に雇用関係上の一定の地位を与えた後では、特定の信条を有することを理由として解雇することは違法である。
イ．司法書士の業務の円滑な遂行による公的機能の回復に資するため、大震災により被災した他県の司法書士会に支援金を寄付することは、司法書士会の権利能力の範囲内にあるというべきであり、このような支援金寄付のため、司法書士会が会員から負担金を徴収することは、司法書士会が強制加入団体であることを考慮しても、会員の政治的又は宗教的立場や思想信条の自由を害するものではない。
ウ．企業内においても労働者の思想、信条等の精神的自由は十分尊重されるべきであることから、企業が労働者に対し、その者が特定の政党に所属するかどうかに関する書面の提出を求めることは、それがたとえ企業の組織秩序の維持を目的とする調査の一環であり、強要にわたるような態様のものでなかったとしても、社会的に許容し得る限界を超えて労働者の精神的自由を侵害した違法行為である。",,,,,,,,,,,112,"ア．hanrei 51931
イ．hanrei 62439
ウ．そのように述べた判例は見当たらない"
2023,3,ken,"表現の自由に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、それぞれ正しい場合には１を、誤っている場合には２を選びなさい。
ア．情報摂取のためになされる筆記行為の自由は、憲法第２１条第１項の精神に照らして尊重されるべきであって、傍聴人が法廷でメモを取る自由は、そこで見聞する裁判を認識、記憶するためになされる限り、尊重に値し、故なく妨げられてはならないから、その制限又は禁止に対する審査に当たっては、表現の自由に制約を加える場合に一般的に必要とされる厳格な基準が要求される。
イ．公務員又は公職選挙の候補者に対する評価、批判等の表現行為に関する事前差止めは、原則として許されず、例外的に、その表現内容が真実でなく、又はそれが専ら公益を図る目的のものではないことが明白であって、かつ、被害者が重大にして著しく回復困難な損害を被るおそれがあるときにのみ許されるが、その場合には迅速を旨とする仮処分手続による以上、原則として、口頭弁論や債務者審尋を経る必要はない。
ウ．少年法第６１条が禁止する推知報道に当たるか否かは、少年と面識のある特定多数の者あるいは少年が生活基盤としてきた地域社会の不特定多数の者ではなく、不特定多数の一般人が、当該事件報道記事等により、少年を当該事件の本人であると推知することができるかを基準にして判断すべきである。",,,,,,,,,,,221,"ア．hanrei 52213
イ．hanrei 52665
ウ．hanrei 52287"
2023,4,ken,"集会の自由に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．集団行進が行われることによって一般交通の用に供せられるべき道路の機能を著しく害するものと認められ、また、条件を付与することによってもかかる事態の発生を阻止することができないと予測される場合には、当該集団行進について不許可処分がなされたとしても憲法第２１条に反しない。
イ．公共の秩序を保持し、又は公共の福祉が著しく侵されることを防止するため、特定の場所又は方法につき、合理的かつ明確な基準の下に、集団行進についてあらかじめ許可を受けることを必要とするとの規定を設けたとしても憲法第２１条に反しない。
ウ．皇居外苑などの国民公園は、国が直接公共の用に供した財産であるとしても、集会のために設置されたものではないため、公園を集会に使用するための許可の申請について、公園の管理権者はその許否を自由に決することができ、不許可処分を行っても憲法第２１条に反しない。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,2,"ア．hanrei 51205
イ．hanrei 56788
ウ．hanrei 56095"
2023,5,ken,"学問の自由に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．普通教育の場において使用される教科書は、研究結果の発表を直接の目的とするものではないものの、研究結果の発表という面があることから、記載内容がいまだ学界において支持を得ていないときに検定基準を満たさないとする教科書検定処分は憲法第２３条に違反する。
イ．大学における学問の自由を保障するために、伝統的に大学の自治が認められており、この自治は、特に大学の教授その他の研究者の人事に関して認められるとともに、大学の施設と学生の管理についてもある程度で認められる。
ウ．憲法第２３条の学問の自由は、学問研究の自由とその研究結果の発表の自由とを含むものであるが、教育ないし教授の自由は、学問の自由と密接な関係を有するけれども、学問の自由に含まれるものではない。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,6,"ア．hanrei 56358
イ．hanrei 56972
ウ．hanrei 56972"
2023,6,ken,"財産権の保障に関する次のアからウまでの各記述について、ｂの見解がａの見解の批判となっている場合には１を、そうでない場合には２を選びなさい。
ア．ａ．憲法第２９条第１項と同条第２項を整合的に理解すれば、同条第１項は、法律で定める財産権の不可侵を規定したものということになる。
ｂ．同条第１項が、法律で定める財産権を保障するにすぎないというのでは、憲法規範としての意義が著しく減殺されてしまう。
イ．ａ．憲法第２９条第１項が保障する私有財産制度とは、生産手段の私有を内容とする資本主義体制の保障を意味する。
ｂ．もし単に個人の生存に不可欠の物的手段のみを保障する趣旨ならば、社会主義国家の憲法と同様にその点を明示したはずである。また、憲法第２２条第１項は、営業の自由を保障している。
ウ．ａ．憲法第２９条第１項が保障する財産権は、人間が、人間としての価値ある生活を営む上に必要な物的手段の享有を意味する。
ｂ．基幹産業の国有化は、同条第３項の正当な補償を条件として、同条第２項の「公共の福祉」を実現する立法府の裁量に委ねられている。",,,,,,,,,,,122,"ア．bがaの批判になっている
イ．どちらかというとbはaの根拠になっている
ウ．正当な補償があれば物的手段の享有はできる"
2023,7,ken,"生存権に関する次のアからウまでの各記述について、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．堀木訴訟判決（最高裁判所昭和５７年７月７日大法廷判決、民集３６巻７号１２３５頁）は、憲法第２５条の規定の要請にこたえて制定された法令において、憲法第１４条違反の問題を生じる余地はあるが、併給調整を行うかどうかは立法府の裁量の範囲内に属し、併給調整条項の適用により、児童扶養手当の受給に関して差別を生ずることになるとしても、身体障害者、母子に対する諸施策及び生活保護制度の存在などに照らして総合的に判断すると、かかる差別はなんら合理的理由のない不当なものであるとはいえないとした。
イ．朝日訴訟判決（最高裁判所昭和４２年５月２４日大法廷判決、民集２１巻５号１０４３頁）は、憲法第２５条第１項は、直接個々の国民に対して具体的権利を賦与したものではないが、厚生大臣が、現実の生活条件を無視して著しく低い基準を設定する等憲法及び生活保護法の趣旨・目的に反し、法律によって与えられた裁量権の限界をこえた場合または裁量権を濫用した場合、違法な行為として司法審査の対象となるとした。
ウ．総評サラリーマン税金訴訟判決（最高裁判所平成元年２月７日第三小法廷判決、集民１５６号８７頁）は、国家は、国民各自が自らの手で健康で文化的な最低限度の生活を維持することを阻害してはならないのであって、これを阻害する立法は憲法第２５条に違反するとしつつ、所得税法中の給与所得に係る課税関係規定について、憲法第２５条の規定の趣旨を踏まえて具体的にどのような立法措置を講ずるかは、立法府の広い裁量に委ねられるとした。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,2,"ア．hanrei 55154
イ．hanrei 54970
ウ．hanrei 62301"
2023,8,ken,"労働基本権に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、それぞれ正しい場合には１を、誤っている場合には２を選びなさい。
ア．ユニオン・ショップ協定とは、労働協約において、使用者が従業員のうち労働組合に加入しない者及び労働組合の組合員でなくなった者を解雇する義務を負う定めを置くことをいうが、ユニオン・ショップ協定において、使用者が同協定を締結した組合以外の他の労働組合に加入している者を解雇する義務を負うと定めることは、憲法第２８条が保障する労働者の組合選択の自由及び他の労働組合の団結権を侵害するため許されない。
イ．労働組合は、憲法第２８条が団結権を保障する効果として、組合員に対する統制権を有するから、労働組合が、地方議会議員の選挙に当たり、統一候補を決定して組合を挙げて選挙運動を推進している場合に、組合の方針に反して立候補しようとする組合員に対し、立候補の取りやめを要求し、これに従わないことを統制違反として処分することは許される。
ウ．憲法第２８条の労働基本権の保障は公務員に対しても及ぶが、国家公務員の従事する職務には公共性がある一方、法律によりその主要な勤務条件が定められ、身分が保障されているほか、適切な代償措置が講じられていることなどからすれば、法律により国家公務員の争議行為を禁止することは、勤労者をも含めた国民全体の共同利益の見地からするとやむを得ない制約というべきであって、憲法第２８条に違反しない。",,,,,,,,,,,121,"ア．hanrei 52718
イ．hanrei 50720
ウ．hanrei 50906"
2023,9,ken,"人身の自由に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、それぞれ正しい場合には１を、誤っている場合には２を選びなさい。
ア．憲法第３４条前段の弁護人依頼権の規定は、単に被疑者が弁護人を選任することを官憲が妨害してはならないというにとどまるものではなく、弁護人から援助を受ける機会を実質的に保障しているものと解すべきであり、刑事訴訟法第３９条第１項の接見交通権は、憲法第３４条の趣旨にのっとり設けられたものである。
イ．憲法第３５条の下で令状なく住居に侵入し捜索・押収ができるのは、裁判官が発した令状による逮捕の場合、現行犯逮捕の場合及び緊急逮捕の場合に限られ、現行犯として逮捕する要件は備わっていたが、現実には逮捕しない場合は含まれない。
ウ．交通事故を起こした運転者は、警察官に対し、交通事故発生の日時、場所、死傷者の数などを報告する義務を負うが、道路における危険とこれによる被害の増大を防止し、交通の安全を図るという目的のためには、刑事責任を負うことにつながるような自己に不利益な供述をさせることもやむを得ないから、この報告義務を定めた法律は、憲法第３８条第１項に違反しない。",,,,,,,,,,,122,"ア．hanrei 52506
イ．hanrei 55432
ウ．hanrei 56990"
2023,10,ken,"次の対話は、憲法第２４条に関する教授と学生の対話である。教授の各質問に対する次のアからウまでの学生の各回答について、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
教授．再婚禁止期間違憲判決（最高裁判所平成２７年１２月１６日大法廷判決、民集６９巻８号２４２７頁）は、婚姻の自由の憲法上の位置付けについてどのように述べていましたか。
ア．この判決は、憲法第２４条第１項は、婚姻をするかどうか、いつ誰と婚姻をするかについては、当事者間の自由かつ平等な意思決定に委ねられるべきであるという趣旨を明らかにしたものと解され、このような婚姻の自由について、憲法第２４条第１項の規定の趣旨に照らし、十分尊重に値するものと解することができる、と述べています。
教授．再婚禁止期間違憲判決は、民法第７３３条第１項の規定のうち１００日を超えて再婚禁止期間を設ける部分は、憲法第１４条第１項、第２４条第２項に違反するに至っていたと判断しましたが、同判決は、民法第７３３条第１項の立法目的やＤＮＡ検査により親子関係の有無が確認できることについて、どのように述べていましたか。
イ．同判決は、民法第７３３条第１項の立法目的は、女性の再婚後に生まれた子につき父性の推定の重複を回避し、もって父子関係をめぐる紛争の発生を未然に防ぐことにあったとし、現代社会においては、ＤＮＡ検査技術が進歩し、極めて高い確率で生物学上の親子関係の有無が確認できるようになったことから、その立法目的は合理性を欠くに至ったと述べています。
教授．夫婦同氏を定める民法第７５０条が憲法第２４条に違反しないという見解は、婚姻前の氏を通称として使用することが近時社会的に広まっていることを、論拠とすることはできるでしょうか。
ウ．婚姻により氏を改める者は、氏を改めることにより、いわゆるアイデンティティの喪失感を抱くなど、様々な不利益を受けることがありますが、通称使用が近時社会的に広まっていることは、今述べた不利益を一定程度緩和することにつながります。したがって、教授がおっしゃった見解は、通称使用が拡大していることを論拠とすることができます。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,3,"ア．hanrei 85547
イ．hanrei 85547
ウ．hanrei 85547"
